"","accepted_symbol","common_name","scientific_name","fire_resistance","growth_rate","height","drought_tolerance","fire_tolerance","moisture_use","planting_density","root_depth","bloom_period","growth_habit","growth_period"
"235","PLMA2","common plantain","Plantago major","No","Moderate",0,"Medium","High","Medium",18000,4,"Late Spring","Forb/herb","Spring"
"236","PLRA","California sycamore","Platanus racemosa","No","Slow",75,"Medium","Low","Medium",800,36,"Mid Spring","Tree","Spring"
"237","PLODO","sweetscent","Pluchea odorata var. odorata","No","Moderate",5,"Medium","Medium","Medium",1200,14,"Indeterminate","Forb/herb","Summer"
"238","PLODO","sweetscent","Pluchea odorata var. odorata","No","Moderate",5,"Medium","Medium","Medium",1200,14,"Indeterminate","Subshrub","Summer"
"239","POBA2","balsam poplar","Populus balsamifera","Yes","Rapid",80,"Low","High","High",800,30,"Late Spring","Tree","Spring"
"240","POBAT","black cottonwood","Populus balsamifera ssp. trichocarpa","No","Rapid",100,"Low","Low","High",800,30,"Mid Spring","Tree","Spring"
"241","POFR2","Fremont cottonwood","Populus fremontii","No","Rapid",90,"Medium","Medium","High",800,32,"Early Spring","Tree","Spring"
"242","POGL9","sticky cinquefoil","Potentilla glandulosa","No","Moderate",2,"Low","Low","Low",4800,8,"Late Spring","Subshrub","Spring"
"243","POGL9","sticky cinquefoil","Potentilla glandulosa","No","Moderate",2,"Low","Low","Low",4800,8,"Late Spring","Forb/herb","Spring"
"244","POGR9","slender cinquefoil","Potentilla gracilis","No","Moderate",2,"Medium","None","Low",10912,4,"Early Summer","Subshrub","Spring"
"245","POGR9","slender cinquefoil","Potentilla gracilis","No","Moderate",2,"Medium","None","Low",10912,4,"Early Summer","Forb/herb","Spring"
"246","PREM","bitter cherry","Prunus emarginata","No","Moderate",80,"Medium","High","Medium",1700,20,"Mid Spring","Tree","Spring"
"247","PREM","bitter cherry","Prunus emarginata","No","Moderate",80,"Medium","High","Medium",1700,20,"Mid Spring","Shrub","Spring"
"248","PRFA","desert almond","Prunus fasciculata","No","Slow",6,"High","None","Low",70,12,"Early Spring","Shrub","Spring"
"249","PRILL","hollyleaf cherry","Prunus ilicifolia ssp. lyonii","No","Rapid",40,"High","Low","Medium",400,12,"Late Spring","Tree","Spring"
"250","PRILL","hollyleaf cherry","Prunus ilicifolia ssp. lyonii","No","Rapid",40,"High","Low","Medium",400,12,"Late Spring","Tree","Summer"
"251","PRILL","hollyleaf cherry","Prunus ilicifolia ssp. lyonii","No","Rapid",40,"High","Low","Medium",400,12,"Late Spring","Tree","Fall"
"252","PRILL","hollyleaf cherry","Prunus ilicifolia ssp. lyonii","No","Rapid",40,"High","Low","Medium",400,12,"Late Spring","Shrub","Spring"
"253","PRILL","hollyleaf cherry","Prunus ilicifolia ssp. lyonii","No","Rapid",40,"High","Low","Medium",400,12,"Late Spring","Shrub","Summer"
"254","PRILL","hollyleaf cherry","Prunus ilicifolia ssp. lyonii","No","Rapid",40,"High","Low","Medium",400,12,"Late Spring","Shrub","Fall"
"255","PRVI","chokecherry","Prunus virginiana","No","Rapid",25,"Medium","High","Medium",2728,20,"Mid Spring","Tree","Spring"
"256","PRVI","chokecherry","Prunus virginiana","No","Rapid",25,"Medium","High","Medium",2728,20,"Mid Spring","Shrub","Spring"
"257","PRVID","western chokecherry","Prunus virginiana var. demissa","No","Rapid",20,"Medium","High","Medium",2700,24,"Spring","Tree","Spring"
"258","PRVID","western chokecherry","Prunus virginiana var. demissa","No","Rapid",20,"Medium","High","Medium",2700,24,"Spring","Shrub","Spring"
"259","PSMA","bigcone Douglas-fir","Pseudotsuga macrocarpa","No","Moderate",75,"High","Low","Low",1200,30,"Early Spring","Tree","Spring"
"260","PTAQ","western brackenfern","Pteridium aquilinum","No","Moderate",7,"Medium","High","Medium",10912,10,"Summer","Forb/herb","Spring"
